date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:40:58	191701/191701	---MCZ	200	added ('OK')	text/html	etag:W/%2262d3e048-2ecd5%22	https://www.mansurtl.com/templates/dream/index.html	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/index.html	(from )
18:40:58	101/101	---M--	200	added ('OK')	text/plain	etag:%2265-5e3fcd850f000%22	https://www.mansurtl.com/robots.txt		(from )
18:40:59	604/604	---M--	200	added ('OK')	image/png	etag:%2261d1c6a8-25c%22	https://www.mansurtl.com/templates/dream/images/dist/logos/favicon.png	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/logos/favicon.png	(from https://www.mansurtl.com/templates/dream/index.html)
18:40:59	1098/1098	---MCZ	200	added ('OK')	text/css	etag:W/%2261600cef-44a%22	https://www.mansurtl.com/templates/dream/fonts/Inter/inter-fontfaces.css	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/fonts/Inter/inter-fontfaces.css	(from https://www.mansurtl.com/templates/dream/index.html)
18:40:59	194562/194562	---MCZ	200	added ('OK')	text/css	etag:W/%2261bdbbd0-2f802%22	https://www.mansurtl.com/templates/dream/css/vendor/bootstrapv5-0-2/bootstrapv5-0-2.css	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/css/vendor/bootstrapv5-0-2/bootstrapv5-0-2.css	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:00	502706/502706	---MCZ	200	added ('OK')	text/css	etag:W/%2262d3e044-7abb2%22	https://www.mansurtl.com/templates/dream/css/main.min.css	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/css/main.min.css	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:00	2558/2558	---M--	200	added ('OK')	image/png	etag:%2261d2ba6d-9fe%22	https://www.mansurtl.com/templates/dream/images/dist/logos/logo.png	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/logos/logo.png	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:00	132374/132374	---MCZ	200	added ('OK')	text/html	etag:W/%2262d3e048-20516%22	https://www.mansurtl.com/templates/dream/blog.html	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/blog.html	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:01	148183/148183	---MCZ	200	added ('OK')	text/html	etag:W/%2262d3e048-242d7%22	https://www.mansurtl.com/templates/dream/faq.html	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/faq.html	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:01	135885/135885	---MCZ	200	added ('OK')	text/html	etag:W/%2262d3e049-212cd%22	https://www.mansurtl.com/templates/dream/profile-favorites.html	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/profile-favorites.html	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:01	129497/129497	---MCZ	200	added ('OK')	text/html	etag:W/%2262d3e049-1f9d9%22	https://www.mansurtl.com/templates/dream/profile-orders.html	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/profile-orders.html	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:02	195210/195210	---MCZ	200	added ('OK')	text/html	etag:W/%2262d3e048-2fa8a%22	https://www.mansurtl.com/templates/dream/basket.html	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/basket.html	(from https://www.mansurtl.com/templates/dream/index.html)
